time [s],expiration [NA](/api/datatype/35/)
4300.65625,23404
4302.8046875,23410
4304.78125,23412
4306.8125,23412
4308.9453125,23409
4310.625,23405
4312.65625,23404
4315.78125,23258
4320.09375,23413
4331.0078125,23432
4333.78125,23433
4336.71875,23426
4338.75,23427
4340.5234375,23431
4343.1796875,23431
4345.8671875,23421
4348.484375,23413
4351.15625,23429
4353.3671875,23438
4355.6875,23432
4360.0,23431
4363.7734375,23370
4365.6015625,23358
4367.4453125,23401
4370.3515625,23323
4372.8046875,23386
4376.2890625,23358
4377.953125,23387
4380.9609375,23424
4383.2890625,23413
4385.4296875,23367
4387.5625,23355
4392.015625,23194
4396.1953125,23355
4400.234375,23359
4402.7109375,23386
4405.8046875,23396
4409.640625,23375
4412.546875,23366
4415.5703125,23368
4418.34375,23365
4421.9296875,23382
4424.359375,23369
4428.6015625,23378
4431.2109375,23378
4433.8984375,23379
4436.5546875,23374
4442.46875,23358
4445.03125,23357
4451.6953125,23363
4454.625,23360
4458.1171875,23355
4461.6796875,23345
4465.265625,23352
4468.84375,23331
4471.9921875,23333
4474.7265625,23336
4477.2734375,23351
4479.765625,23361
4483.953125,23218
4499.2734375,23370
4502.75,23368
4510.890625,23320
4515.3125,23350
4519.84375,23356
4523.0703125,23358
4526.0859375,23337
4530.4296875,23293
4534.8359375,23352
4538.328125,23348
4543.1015625,23365
4546.1640625,23362
4549.1015625,23362
4552.3984375,23359
4555.1875,23356
4558.0625,23354
4561.2265625,23354
4564.2265625,23355
4567.5390625,23344
4572.015625,23367
4574.546875,23369
4577.1953125,23373
4579.8125,23368
4583.65625,23329
4588.8125,23374
4592.3125,23375
4595.3125,23377
4597.9609375,23379
4600.3515625,23374
4603.203125,23369
4606.1953125,23368
4616.953125,23356
4619.984375,23373
4623.078125,23373
4626.3828125,23367
4629.1015625,23370
4632.0390625,23367
4636.0078125,23194
4645.0546875,23319
4652.0078125,23352
4655.609375,23372
4658.2734375,23373
4661.4140625,23381
4664.828125,23376
4667.2265625,23357
4670.5703125,23357
4673.875,23350
4677.0,23351
4681.71875,23364
4683.828125,23355
4689.078125,23325
4691.46875,23331
4694.0703125,23379
4696.3046875,23352
4699.0703125,23363
4701.8984375,23362
4704.7421875,23361
4707.9296875,23356
4711.1796875,23369
4714.234375,23364
4717.15625,23374
4719.8125,23380
4722.7421875,23381
4726.1328125,23350
4729.3125,23397
4730.8828125,23377
4733.203125,23375
4736.109375,23368
4738.6953125,23373
4741.4140625,23378
4743.6875,23384
4746.7578125,23310
4751.0390625,23372
4755.0625,23369
4759.7265625,23370
4762.3984375,23382
4767.421875,23208
4776.1015625,23364
4779.15625,23358
4784.5234375,23363
4788.6171875,23360
4791.65625,23349
4794.5546875,23360
4797.9140625,23334
4801.703125,23361
4805.6796875,23353
4809.0859375,23347
4811.421875,23349
4815.546875,23351
4818.5,23358
4823.25,23364
4825.828125,23363
4827.4453125,23355
4831.734375,23364
4835.078125,23377
4837.34375,23386
4839.5859375,23383
4841.984375,23361
4844.203125,23360
4847.125,23327
4850.375,23337
4852.765625,23340
4857.2421875,23308
4864.7734375,23365
4867.0390625,23371
4869.3671875,23356
4871.7421875,23366
4874.265625,23367
4876.390625,23363
4883.8359375,23339
4886.8671875,23374
4889.828125,23376
4893.171875,23372
4895.8984375,23374
4898.828125,23371
4901.5859375,23367
4903.890625,23364
4908.1015625,23372
4910.875,23366
4913.5703125,23371
4915.8203125,23355
4917.7734375,23300
4923.71875,23362
4927.4921875,23374
4930.7578125,23373
4933.265625,23370
4935.6484375,23361
4939.7890625,23373
4942.3359375,23370
4945.5234375,23359
4948.109375,23361
4950.7109375,23360
4953.2265625,23353
4955.875,23358
4957.7109375,23360
4962.0546875,23360
4965.2734375,23361
4968.703125,23357
4971.734375,23356
4974.6484375,23366
4976.9140625,23355
4978.875,23347
4980.484375,23318
4982.65625,23304
4984.78125,23304
4986.8359375,23309
4989.2265625,23313
4991.59375,23350
4994.25,23355
4997.2109375,23356
4999.9453125,23352
5002.203125,23344
5005.0078125,23363
5007.5625,23338
5015.765625,23338
5022.515625,23351
5025.890625,23359
5029.2109375,23362
5034.6875,23348
5038.34375,23369
5041.296875,23357
5046.234375,23356
5057.703125,23368
5059.7578125,23339
5064.484375,23355
5068.8515625,23200
5083.7421875,23335
5088.359375,23349
5094.625,23359
5103.296875,23298
5111.2734375,23330
5116.09375,23341
5119.4765625,23362
5129.625,23290
5133.3125,23318
5140.109375,23342
5144.1640625,23329
5151.0390625,23352
5156.59375,23301
5161.78125,23329
5167.3828125,23358
5172.578125,23359
5174.890625,23354
5180.5078125,23329
5189.71875,23278
5193.1015625,23328
5197.5546875,23310
