time [s],inspiration [NA](/api/datatype/34/)
16085.9921875,23316
16088.125,23319
16090.8671875,23319
16094.25,23312
16096.3984375,23314
16099.1953125,23296
16102.28125,23307
16106.1796875,23299
16109.0625,23306
16111.796875,23309
16115.46875,23299
16118.3984375,23300
16121.40625,23299
16124.25,23300
16127.5390625,23302
16130.328125,23309
16133.0234375,23311
16136.1796875,23305
16139.046875,23305
16142.9296875,23310
16145.5703125,23307
16148.3828125,23303
16151.2734375,23302
16154.328125,23310
16157.328125,23302
16159.6953125,23303
16162.5078125,23306
16165.9296875,23303
16169.015625,23312
16171.6484375,23311
16174.5859375,23305
16176.75,23310
16178.8359375,23317
16181.625,23322
16185.34375,23335
16188.515625,23359
16191.859375,23402
16196.8046875,23366
16204.4453125,23306
16207.390625,23311
16209.9609375,23314
16213.078125,23307
16215.53125,23321
16218.03125,23314
16220.8984375,23311
16223.6328125,23310
16225.8984375,23334
16227.890625,23316
16230.390625,23319
16232.4609375,23329
16234.453125,23326
16236.8125,23323
16240.1484375,23320
16242.3515625,23324
16247.078125,23346
16250.109375,23331
16256.3203125,23303
16258.578125,23305
16261.9296875,23315
16264.5859375,23304
16266.9609375,23302
16269.359375,23305
16271.2734375,23297
16273.734375,23317
16275.875,23316
16277.296875,23349
16280.34375,23313
16282.515625,23313
16284.78125,23320
16286.515625,23313
16289.203125,23297
16290.9375,23294
16293.171875,23312
16295.1015625,23332
16297.2421875,23336
16299.5390625,23330
16301.7421875,23343
16305.453125,23375
16308.0078125,23255
16310.21875,23371
16313.484375,23323
16315.9296875,23362
16317.4453125,23352
16326.5546875,23419
16336.0703125,23312
16339.296875,23375
16342.1171875,23378
16346.21875,23380
16350.7578125,23409
16353.375,23353
16360.7109375,23336
16363.5390625,23355
16367.609375,23337
16370.0234375,23350
16371.9296875,23356
16376.2734375,23313
16378.875,23321
16381.390625,23319
16384.0078125,23322
16386.75,23314
16391.1015625,23306
16393.7734375,23277
16396.8125,23302
16399.078125,23308
16403.2265625,23386
16407.8984375,23313
16411.1171875,23301
16413.6875,23299
16415.8515625,23300
16418.0078125,23310
16419.96875,23296
16423.703125,23365
16429.7265625,23285
16431.9921875,23293
16435.8125,23368
16440.25,23290
16443.28125,23275
16447.6953125,23279
16450.75,23288
16454.9609375,23359
16460.0859375,23285
16463.296875,23282
16465.640625,23281
16469.625,23292
16472.6171875,23292
16478.609375,23289
16484.59375,23374
16491.3671875,23293
16493.9296875,23296
16497.515625,23294
16499.9765625,23293
16502.546875,23297
16507.6015625,23345
16510.9921875,23313
16513.703125,23298
16515.890625,23300
16518.2265625,23304
16521.125,23301
16528.453125,23391
16532.1875,23343
16539.28125,23383
16548.1875,23293
16554.3828125,23345
16557.828125,23366
16571.8828125,23323
16576.9140625,23309
16581.3359375,23285
16594.8984375,23266
16597.828125,23280
16603.453125,23294
16610.75,23293
16615.6953125,23296
16621.328125,23284
16623.828125,23281
16625.875,23285
16628.21875,23283
16631.3671875,23291
16634.3046875,23284
16636.5390625,23292
16638.7890625,23300
16641.25,23293
16643.5078125,23294
16646.046875,23296
16648.7265625,23294
16650.984375,23297
16653.328125,23294
16656.046875,23298
16658.3984375,23300
16660.9140625,23300
16663.34375,23296
16665.7265625,23293
16667.75,23297
16670.125,23297
16672.484375,23297
16675.078125,23299
16677.2734375,23295
16679.6171875,23286
16681.671875,23209
16684.3203125,23289
16686.8359375,23304
16689.609375,23301
16692.890625,23311
