time [s],NN_interval [s/256](/api/datatype/318/)
24551.09765625,162
24551.72265625,160
24552.3359375,157
24552.9375,154
24553.5546875,158
24554.1875,162
24554.86328125,173
24555.5234375,169
24556.16015625,163
24556.76953125,156
24557.37109375,154
24557.98046875,156
24558.59375,157
24559.23828125,165
24559.91015625,172
24560.55859375,166
24561.19921875,164
24561.8359375,163
24562.46875,162
24563.09375,160
24563.70703125,157
24564.32421875,158
24564.94921875,160
24565.58984375,164
24566.22265625,162
24566.89453125,172
24567.59375,179
24568.3359375,190
24569.04296875,181
24569.765625,185
24570.50390625,189
24571.22265625,184
24571.8984375,173
24572.55859375,169
24573.19921875,164
24573.84375,165
24574.515625,172
24575.25,188
24576.09375,216
24576.8671875,198
24578.26171875,173
24578.91015625,166
24579.52734375,158
24580.125,153
24580.71875,152
24581.3515625,162
24582.09375,190
24582.91796875,211
24583.76953125,218
24585.4296875,215
24586.25390625,211
24587.06640625,208
24587.81640625,192
24588.5625,191
24589.31640625,193
24590.10546875,202
24590.9140625,207
24591.68359375,197
24592.48046875,204
24593.26953125,202
24594.05859375,202
24594.79296875,188
24595.53125,189
24596.25390625,185
24596.9765625,185
24597.671875,178
24598.3359375,170
24598.98046875,165
24599.62890625,166
24600.26171875,162
24600.93359375,172
24601.640625,181
24602.39453125,193
24603.15234375,194
24603.8515625,179
24604.5546875,180
24605.2890625,188
24606.05859375,197
24606.7734375,183
24607.46875,178
24608.15625,176
24608.859375,180
24609.66015625,205
24611.59765625,244
24614.0390625,198
24614.796875,194
24615.52734375,187
24616.21875,177
24616.9375,184
24617.734375,204
24618.609375,224
24619.4140625,206
24621.14453125,226
24622.0,219
24622.80078125,205
24623.62109375,210
24624.44140625,210
24625.22265625,200
24625.95703125,188
24626.73046875,198
24628.37890625,214
24629.16015625,200
24629.95703125,204
24630.796875,215
24631.6171875,210
24632.37890625,195
24633.1328125,193
24633.91796875,201
24634.73046875,208
24635.54296875,208
24636.31640625,198
24637.11328125,204
24637.87890625,196
24638.59765625,184
24639.27734375,174
24639.91796875,164
24640.5625,165
24641.203125,164
24641.8515625,166
24642.5,166
24643.1875,176
24643.8984375,182
24644.6796875,200
24645.51171875,213
24646.31640625,206
24647.81640625,197
24649.38671875,199
24650.1015625,183
24650.8203125,184
24651.54296875,185
24652.296875,193
24653.0390625,190
24653.7890625,192
24654.58203125,203
24655.42578125,216
24656.20703125,200
24657.8046875,205
24658.61328125,207
24659.36328125,192
24660.14453125,200
24660.90234375,194
24661.66796875,196
24662.3984375,187
24663.18359375,201
24664.01171875,212
24664.78515625,198
24665.578125,203
24666.37109375,203
24667.10546875,188
24667.84375,189
24668.54296875,179
24669.24609375,180
24669.9375,177
24670.625,176
24671.30859375,175
24671.99609375,176
24672.70703125,182
24673.484375,199
24674.3359375,218
24675.1796875,216
24676.7421875,191
24677.43359375,177
24678.08984375,168
24678.7421875,167
24679.40234375,169
24680.0703125,171
24680.734375,170
24681.4765625,190
24682.28125,206
24683.1328125,218
24684.03125,230
24684.90234375,223
24685.72265625,210
24686.49609375,198
24687.2265625,187
24687.9140625,176
24688.5703125,168
24689.20703125,163
24689.8515625,165
24690.49609375,165
24691.1484375,167
24691.875,186
24693.578125,219
24695.92578125,200
24696.65234375,186
24697.35546875,180
24698.0625,181
24698.78515625,185
24699.484375,179
24700.1796875,178
24700.90234375,185
24701.6328125,187
24702.31640625,175
24703.03515625,184
24703.765625,187
24704.48828125,185
24705.1796875,177
24705.890625,182
24706.6015625,182
24707.2890625,176
24707.9765625,176
24708.67578125,179
24709.390625,183
24710.08984375,179
24710.76953125,174
24711.421875,167
24712.046875,160
24712.6640625,158
24713.28515625,159
24713.91015625,160
24714.54296875,162
24715.1796875,163
24715.8359375,168
24716.50390625,171
24717.15625,167
24717.8046875,166
24718.45703125,167
24719.09765625,164
24719.71484375,158
24720.328125,157
24720.921875,152
24721.51953125,153
24722.1328125,157
24722.76953125,163
24723.39453125,160
24724.01953125,160
24724.6953125,173
24725.40625,182
24726.08984375,175
24726.7578125,171
24727.4296875,172
24728.109375,174
24728.76953125,169
24729.41796875,166
24730.08984375,172
24730.78515625,178
24731.45703125,172
24732.140625,175
24732.84765625,181
24733.5546875,181
24734.23828125,175
24734.9375,179
24735.64453125,181
24736.33203125,176
24737.01171875,174
24737.703125,177
24738.40625,180
24739.08984375,175
24739.76953125,174
24740.45703125,176
24741.1328125,173
24741.8125,174
24742.51171875,179
24743.24609375,188
24743.94140625,178
24744.6328125,177
24745.328125,178
24746.02734375,179
24746.6953125,171
24747.3828125,176
24748.09375,182
24748.84765625,193
24749.55078125,180
24750.30078125,192
24751.05078125,192
24751.765625,183
24752.4453125,174
24753.1171875,172
24753.79296875,173
24754.49609375,180
24755.234375,189
24755.9609375,186
24756.7578125,204
24757.546875,202
24758.28515625,189
24758.9765625,177
24759.62109375,165
24760.2578125,163
24760.90234375,165
24761.59375,177
24762.32421875,187
24763.03515625,182
24763.79296875,194
24764.5625,197
24765.33984375,199
24766.05078125,182
24766.79296875,190
24767.55859375,196
24768.33984375,200
24769.09765625,194
24769.80859375,182
24770.55078125,190
24771.3359375,201
24772.1171875,200
24772.8515625,188
24773.62109375,197
24774.41015625,202
24775.15625,191
24775.9140625,194
24776.703125,202
24777.48046875,199
24778.1953125,183
24778.921875,186
24779.66796875,191
24780.41796875,192
24781.125,181
24781.84375,184
24782.5859375,190
24783.34765625,195
24784.046875,179
24784.76953125,185
24785.484375,183
24786.19921875,183
24786.91015625,182
24787.6171875,181
24788.296875,174
24788.94921875,167
24789.59375,165
24790.22265625,161
24790.8515625,161
24791.53515625,175
24792.30078125,196
24793.14453125,216
24794.0,219
24796.16015625,177
24796.83203125,172
24797.6640625,213
24799.9921875,190
24800.71484375,185
24801.4296875,183
24802.12109375,177
24802.7890625,171
24803.4375,166
24804.109375,172
24804.80078125,177
24805.48828125,176
24806.18359375,178
24806.88671875,180
24807.58203125,178
24808.2421875,169
24808.890625,166
24809.515625,160
24810.12890625,157
24810.7421875,157
24811.34765625,155
24811.9609375,157
24812.59765625,163
24813.25,167
24813.9296875,174
24814.62109375,177
24815.32421875,180
24816.01171875,176
24816.67578125,170
24817.34765625,172
24818.0,167
24818.63671875,163
24819.26171875,160
24819.88671875,160
24820.5078125,159
24821.1640625,168
24821.8671875,180
24822.625,194
24823.36328125,189
24824.1328125,197
24824.91015625,199
24825.6484375,189
24826.35546875,181
24827.05859375,180
24827.765625,181
24828.44140625,173
24829.13671875,178
24829.83984375,180
24830.5703125,187
24831.2734375,180
24831.984375,182
24832.72265625,189
24833.4765625,193
24834.203125,186
24834.90625,180
24835.62890625,185
24836.34375,183
24837.046875,180
24837.74609375,179
24838.453125,181
24839.15625,180
24839.83984375,175
24840.5390625,179
24841.25390625,183
24841.96875,183
24842.6640625,178
24843.33984375,173
24844.03125,177
24844.72265625,177
24845.39453125,172
24846.0859375,177
24846.77734375,177
24847.45703125,174
24848.125,171
24848.78125,168
24849.41796875,163
24850.0546875,163
24850.69921875,165
24851.3515625,167
24852.03125,174
24852.74609375,183
24853.4375,177
24854.15234375,183
24854.8515625,179
24855.52734375,173
24856.18359375,168
24856.84375,169
24857.51171875,171
24858.17578125,170
24858.84375,171
24859.53125,176
24860.2734375,190
24860.98828125,183
24861.703125,183
24862.46875,196
24863.24609375,199
24863.98828125,190
24864.69140625,180
24865.41015625,184
24866.15234375,190
24866.88671875,188
24867.578125,177
24868.2890625,182
24868.9921875,180
24869.671875,174
24870.34375,172
24871.03125,176
24871.71875,176
24872.421875,180
24873.08984375,171
24873.73828125,166
24874.375,163
24875.01171875,163
24875.62890625,158
24876.23828125,156
24876.83203125,152
24877.4140625,149
24877.9921875,148
24878.5859375,152
24879.20703125,159
24879.87890625,172
24880.609375,187
24881.3125,180
24882.03515625,185
24882.73046875,178
24883.390625,169
24884.06640625,173
24884.7421875,173
24885.41015625,171
24886.1484375,189
24886.9296875,200
24887.70703125,199
24888.421875,183
24889.109375,176
24889.77734375,171
24890.45703125,174
24891.1328125,173
24891.8359375,180
24892.7265625,228
24894.69921875,241
24896.47265625,229
24897.33203125,220
24898.12109375,202
24898.90234375,200
24899.65625,193
24900.43359375,199
24901.1875,193
24901.98828125,205
24902.80078125,208
24903.578125,199
24904.3203125,190
24905.046875,186
24905.74609375,179
24906.39453125,166
24907.0625,171
24907.796875,188
24908.609375,208
24909.47265625,221
24910.25390625,200
24911.76953125,196
24912.5625,203
24913.35546875,203
24914.109375,193
24914.890625,200
24915.6640625,198
24916.43359375,197
24917.1796875,191
24917.98828125,207
24918.84375,219
24919.703125,220
24920.48046875,199
24921.2734375,203
24922.0859375,208
24922.90625,210
24923.66796875,195
24924.48828125,210
24925.2890625,205
24926.0625,198
24926.80859375,191
24927.609375,205
24928.45703125,217
24929.26171875,206
24930.0625,205
24930.87109375,207
24931.671875,205
24932.41796875,191
24933.1484375,187
24933.8515625,180
24934.5234375,172
24935.1953125,172
24935.91015625,183
24936.60546875,178
24937.33203125,186
24938.1171875,201
24938.94140625,211
24939.68359375,190
24941.1796875,190
24941.875,178
24942.56640625,177
24943.2578125,177
24943.9453125,176
24944.6015625,168
24945.25,166
24945.88671875,163
24946.51171875,160
24947.15234375,164
24947.81640625,170
24948.48046875,170
24949.1328125,167
24949.796875,170
24950.44140625,165
24951.07421875,162
24951.69921875,160
24952.30859375,156
24952.90234375,152
24953.5,153
24954.1171875,158
24954.7734375,168
24955.44140625,171
24956.12109375,174
24956.81640625,178
24957.49609375,174
24958.16796875,172
24958.82421875,168
24959.48828125,170
24960.17578125,176
24960.9140625,189
24961.70703125,203
24962.48046875,198
24963.21875,189
24963.90625,176
24964.58203125,173
24965.25390625,172
24965.90234375,166
24966.5703125,171
24967.265625,178
24968.015625,192
24968.7890625,198
24969.51953125,187
24970.26171875,190
24970.9921875,187
24971.6953125,180
24972.359375,170
24973.03515625,173
24973.71875,175
24974.40234375,175
24975.0859375,175
24975.83203125,191
24976.671875,215
24977.5,212
24979.0390625,198
24979.8203125,200
24980.60546875,201
24981.35546875,192
24982.06640625,182
24982.80078125,188
24983.55078125,192
24984.3046875,193
24985.01171875,181
24985.765625,193
24986.50390625,189
24987.23046875,186
24987.91015625,174
24988.55859375,166
24989.22265625,170
24989.9375,183
24990.74609375,207
24991.54296875,204
24993.1171875,203
24993.875,194
24994.5859375,182
24995.3125,186
24996.046875,188
24996.75390625,181
24997.45703125,180
24998.1796875,185
24998.91796875,189
24999.6171875,179
25000.34375,186
25001.06640625,185
25001.76953125,180
25002.46875,179
25003.17578125,181
25003.89453125,184
25004.59375,179
25005.29296875,179
25005.98828125,178
25006.703125,183
25007.390625,176
25008.078125,176
25008.78515625,181
25009.51171875,186
25010.2421875,187
25010.93359375,177
25011.64453125,182
25012.359375,183
25013.0625,180
25013.7421875,174
25014.38671875,165
25015.05078125,170
25015.73828125,176
25016.4609375,185
25017.15625,178
25017.90234375,191
25018.66796875,196
25019.390625,185
25020.0703125,174
25020.734375,170
25021.375,164
25022.06640625,177
25025.6015625,204
25026.3984375,204
25027.1875,202
25027.95703125,197
25028.6875,187
25029.4375,192
25030.203125,196
25031.00390625,205
25031.80078125,204
25032.5546875,193
25033.3125,194
25034.046875,188
25034.75,180
25035.4296875,174
25036.10546875,173
25036.77734375,172
25037.44921875,172
25038.140625,177
25038.84375,180
25039.546875,180
25040.234375,176
25040.91015625,173
25041.578125,171
25042.26171875,175
25042.98828125,186
25043.71484375,186
25044.47265625,194
25045.296875,211
25046.19140625,229
25047.05859375,222
25048.58203125,191
25049.3203125,189
25050.078125,194
25050.8359375,194
25051.6015625,196
25052.36328125,195
25053.1875,211
25054.01171875,211
25054.828125,209
25055.625,204
25056.40234375,199
25057.1796875,199
25057.953125,198
25058.72265625,197
25059.453125,187
25060.21484375,195
25060.98828125,198
25061.7734375,201
25062.515625,190
25063.29296875,199
25064.05859375,196
25064.78125,185
25065.46484375,175
25066.125,169
25066.8046875,174
25067.5,178
25068.16796875,171
25068.859375,177
25069.55859375,179
25070.26953125,182
25070.9609375,177
25071.66015625,179
25072.36328125,180
25073.07421875,182
25073.75390625,174
25074.4375,175
25075.109375,172
25075.78515625,173
25076.453125,171
25077.109375,168
25077.76953125,169
25078.41796875,166
25079.04296875,160
25079.64453125,154
25080.2421875,153
25080.84765625,155
25081.49609375,166
25082.1953125,179
25082.91015625,183
25083.609375,179
25084.3515625,190
25085.11328125,195
25085.91796875,206
25086.68359375,196
25087.41015625,186
25088.140625,187
25088.890625,192
25089.61328125,185
25090.3046875,177
25091.0234375,184
25091.796875,198
25092.60546875,207
25093.35546875,192
25094.1015625,191
25094.88671875,201
25095.6484375,195
25096.3671875,184
25097.03515625,171
25097.69140625,168
25098.3359375,165
25098.9765625,164
25099.65625,174
25100.44921875,203
25101.26171875,208
25102.80859375,196
25103.58203125,198
25104.3515625,197
25105.08984375,189
