time [s],step [Step](/api/datatype/52/)
10021.625,2289
10022.0625,2290
10022.65625,2291
10023.09375,2292
10023.6875,2293
10024.125,2294
10024.796875,2295
10025.28125,2296
10025.859375,2297
10026.296875,2298
10027.03125,2299
10027.5,2300
10028.125,2301
10028.59375,2302
10029.359375,2303
10029.796875,2304
10030.5,2305
10030.9375,2306
10031.578125,2307
10031.96875,2308
10032.625,2309
10033.0625,2310
10033.625,2311
10034.0625,2312
10034.625,2313
10035.640625,2314
10036.734375,2315
10037.75,2316
10038.3125,2317
10038.84375,2318
10039.234375,2319
10039.859375,2320
10040.421875,2321
10040.921875,2322
10041.484375,2323
10043.546875,2324
10043.953125,2325
10045.0,2326
10045.578125,2327
10046.234375,2328
10047.484375,2329
10048.1875,2330
10048.40625,2331
10051.171875,2332
10051.96875,2333
10108.03125,2334
10341.40625,2335
10342.609375,2336
10438.4375,2337
10439.0625,2338
10439.6875,2339
10440.25,2340
10441.03125,2341
10442.828125,2342
10443.484375,2343
10444.84375,2344
10455.75,2345
10472.0,2346
10472.328125,2347
10475.90625,2348
10476.453125,2349
10476.984375,2350
10477.40625,2351
10478.15625,2352
10478.609375,2353
10481.953125,2354
10482.5625,2355
10483.40625,2356
10483.828125,2357
10484.640625,2358
10485.078125,2359
10485.828125,2360
10486.234375,2361
10486.90625,2362
10487.328125,2363
10487.984375,2364
10488.375,2365
10489.015625,2366
10489.46875,2367
10489.96875,2368
10490.609375,2369
10492.734375,2370
10493.25,2371
10493.84375,2372
10495.4375,2373
10496.515625,2374
10497.3125,2375
10497.734375,2376
10498.5625,2377
10499.578125,2378
10542.265625,2379
10558.25,2380
10558.875,2381
10559.734375,2382
10560.875,2383
10561.421875,2384
10694.578125,2385
10695.25,2386
10695.9375,2387
10696.59375,2388
10697.4375,2389
10697.8125,2390
10698.5,2391
10698.890625,2392
10699.46875,2393
10700.015625,2394
10700.578125,2395
10701.140625,2396
10701.78125,2397
10702.46875,2398
10703.84375,2399
10705.703125,2400
10706.171875,2401
10706.65625,2402
10707.125,2403
10707.65625,2404
10708.03125,2405
10708.671875,2406
10709.0625,2407
10709.78125,2408
10710.140625,2409
10710.828125,2410
10711.3125,2411
10711.875,2412
10712.3125,2413
10712.921875,2414
10713.328125,2415
10714.046875,2416
10714.421875,2417
10715.171875,2418
10715.625,2419
10716.125,2420
10716.5625,2421
10717.109375,2422
10717.5,2423
10718.078125,2424
10718.453125,2425
10719.078125,2426
10719.484375,2427
10720.109375,2428
10721.15625,2429
10721.515625,2430
10722.171875,2431
10722.546875,2432
10723.109375,2433
10723.5,2434
10724.203125,2435
10724.65625,2436
10725.40625,2437
10725.953125,2438
10726.671875,2439
10733.4375,2440
10733.75,2441
10734.421875,2442
10735.40625,2443
10736.546875,2444
10737.078125,2445
10737.8125,2446
10738.265625,2447
10738.953125,2448
10739.390625,2449
10740.734375,2450
10741.484375,2451
10741.921875,2452
10742.546875,2453
10743.0,2454
10743.6875,2455
10744.5625,2456
10745.59375,2457
10745.8125,2458
10746.953125,2459
10766.234375,2460
10766.609375,2461
10767.296875,2462
10767.6875,2463
10768.421875,2464
10768.9375,2465
10784.484375,2466
10784.921875,2467
10785.59375,2468
10785.984375,2469
10786.515625,2470
10786.9375,2471
10787.46875,2472
10787.90625,2473
10788.421875,2474
10788.859375,2475
10789.46875,2476
10790.453125,2477
10790.875,2478
10791.453125,2479
10792.015625,2480
10792.453125,2481
10792.96875,2482
10793.4375,2483
10793.828125,2484
10794.46875,2485
10794.953125,2486
10795.484375,2487
10795.90625,2488
10796.453125,2489
10796.90625,2490
10797.46875,2491
10797.921875,2492
10798.5,2493
10798.9375,2494
10799.5,2495
10799.890625,2496
10800.5625,2497
10800.9375,2498
10801.546875,2499
10802.015625,2500
10802.59375,2501
10803.65625,2502
10804.09375,2503
10804.703125,2504
10805.109375,2505
10805.78125,2506
10806.15625,2507
10806.828125,2508
10807.234375,2509
10807.8125,2510
10808.28125,2511
10808.78125,2512
10809.21875,2513
10809.796875,2514
10810.203125,2515
10810.8125,2516
10811.21875,2517
10811.796875,2518
10812.25,2519
10812.78125,2520
10813.171875,2521
10813.828125,2522
10814.265625,2523
10814.84375,2524
10815.203125,2525
10815.875,2526
10816.375,2527
10817.0,2528
10817.40625,2529
10817.984375,2530
10818.4375,2531
10819.015625,2532
10819.484375,2533
10820.0625,2534
10820.515625,2535
10821.15625,2536
10821.53125,2537
10822.203125,2538
10822.5625,2539
10823.1875,2540
10823.59375,2541
10824.234375,2542
10824.625,2543
10825.25,2544
10825.765625,2545
10826.296875,2546
10826.671875,2547
10827.3125,2548
10827.671875,2549
10828.34375,2550
10828.78125,2551
10829.34375,2552
10829.6875,2553
10830.359375,2554
10830.71875,2555
10831.390625,2556
10831.765625,2557
10832.421875,2558
10832.828125,2559
10833.46875,2560
10833.859375,2561
10834.5,2562
10834.875,2563
10835.5,2564
10835.984375,2565
10836.46875,2566
10836.828125,2567
10837.4375,2568
10837.890625,2569
10838.421875,2570
10838.78125,2571
10839.421875,2572
10839.90625,2573
10840.4375,2574
10840.796875,2575
10841.4375,2576
10841.875,2577
10842.4375,2578
10842.828125,2579
10843.5,2580
10843.984375,2581
10844.546875,2582
10845.03125,2583
10845.578125,2584
10846.09375,2585
10846.625,2586
10846.984375,2587
10847.625,2588
10847.953125,2589
10851.625,2590
10853.609375,2591
10855.203125,2592
10856.0,2593
10856.609375,2594
10857.359375,2595
10857.984375,2596
10859.921875,2597
10860.359375,2598
10860.703125,2599
10956.125,2600
10956.875,2601
10957.28125,2602
10957.796875,2603
10958.15625,2604
10958.390625,2605
10958.734375,2606
10959.03125,2607
10959.375,2608
10959.71875,2609
10960.1875,2610
10960.546875,2611
10961.015625,2612
10961.34375,2613
10961.875,2614
10962.25,2615
10962.734375,2616
10963.109375,2617
10963.5625,2618
10964.0,2619
10964.4375,2620
10964.828125,2621
10965.234375,2622
10965.546875,2623
10966.296875,2624
10966.71875,2625
10967.21875,2626
10967.625,2627
10968.125,2628
10968.484375,2629
10969.015625,2630
10969.375,2631
10969.90625,2632
10970.328125,2633
10970.8125,2634
10971.21875,2635
10971.71875,2636
10972.125,2637
10972.671875,2638
10973.15625,2639
10973.640625,2640
10974.171875,2641
10974.609375,2642
10975.0625,2643
10975.53125,2644
10976.6875,2645
10977.09375,2646
10980.375,2647
11615.953125,2648
11671.375,2649
11704.640625,2650
11792.953125,2651
11793.34375,2652
12062.359375,2653
12066.078125,2654
12066.546875,2655
12067.03125,2656
12067.546875,2657
12067.984375,2658
12068.40625,2659
12068.921875,2660
12069.296875,2661
12069.828125,2662
12070.296875,2663
12070.796875,2664
12071.171875,2665
12071.765625,2666
12072.234375,2667
12072.734375,2668
12073.8125,2669
12074.25,2670
12076.015625,2671
12076.359375,2672
12078.265625,2673
12078.75,2674
12079.265625,2675
12080.25,2676
12080.8125,2677
12091.671875,2678
12092.109375,2679
12092.734375,2680
12093.859375,2681
12112.53125,2682
12113.5625,2683
12143.734375,2684
12144.171875,2685
12144.734375,2686
12145.15625,2687
12162.703125,2688
12163.640625,2689
12164.0625,2690
12164.625,2691
12165.03125,2692
12165.515625,2693
12165.921875,2694
12166.453125,2695
12166.875,2696
12167.359375,2697
12167.84375,2698
12168.390625,2699
12168.828125,2700
12169.328125,2701
12169.75,2702
12170.25,2703
12170.703125,2704
12171.203125,2705
12171.609375,2706
12172.109375,2707
